model,daily_mae,daily_rmse,n_obs,total_mae,total_rmse,total_bias,wape,our_sum,actual_sum
LightGBM_h30,3.1007412946534263,6.073308914139006,864,58.83443514549058,171.9748153031406,8.19494799638789,0.617676675077048,21827.134027237844,20098.0
LightGBM_h75,3.1007412946534263,6.073308914139006,864,,,,,,
Ensemble_h30,3.146908854035923,5.80583956850295,864,41.380392974153345,111.94105154474624,-11.644699502880721,0.4344344172328767,17640.968404892166,20098.0
NGBoost_h75,3.1923810785787574,6.58768392882938,864,,,,,,
Ensemble_h75,3.258962574132517,6.271629934997103,864,,,,,,
CES_h30,3.3458338970959733,6.0738969257906135,864,48.379256032628255,103.25328335112141,-38.508107326341346,0.5079123804798766,11972.789354141976,20098.0
CES_h75,3.3458338970959733,6.0738969257906135,864,,,,,,
NGBoost_h30,3.3695791802576176,7.562102079093619,864,58.59761620845092,232.35308577210319,4.787789183360331,0.6151904179511963,21108.223517689024,20098.0
PatchTST_h75,3.4299546340625,6.19792252750255,864,,,,,,
NHITS_h30,3.4694517763703705,6.416967915486226,864,43.960612861052184,120.326222517267,-9.398730398264588,0.46152300296954973,18114.86788596617,20098.0
NHITS_h75,3.5010005105518984,6.375257880059135,864,,,,,,
XGBoost_h30,3.535442531540024,7.627878981208232,864,64.46028867568732,271.2927198847976,-3.3849720430176404,0.6767400194332782,19383.770898923278,20098.0
XGBoost_h75,3.535442531540024,7.627878981208232,864,,,,,,
MA7_h75,3.548776455026455,6.856024972260311,864,,,,,,
MA7_h30,3.548776455026455,6.856024972260311,864,44.88557887610021,118.18547114803341,-24.26269465132024,0.47123381146667054,14978.57142857143,20098.0
PatchTST_h30,3.674029252269676,6.7090738218739,864,42.31881926990597,89.53836125133397,-31.555325092014883,0.44428653925515776,13439.82640558486,20098.0
LSTM_h75,3.8943103523379627,6.887033350686505,864,,,,,,
SeasonalNaive_h75,4.131944444444445,7.674211263609995,864,,,,,,
SeasonalNaive_h30,4.131944444444445,7.674211263609995,864,44.872037914691944,127.73498928700647,-21.658767772511847,0.47109165091053834,15528.0,20098.0
LSTM_h30,4.139034849628472,7.746792469278096,864,35.86815336162379,67.9981422921495,-11.648498769305117,0.3765638550752622,17640.16675967662,20098.0
Team_30d,5.013194444444444,9.454250562773534,864,70.79156398104266,147.97875302849155,-64.65004739336493,0.7432092745546821,6456.84,20098.0
