asin,title,brand,parent_asin,category_tree,product_group,size,color,model,variation_count,sales_rank_current,sales_rank_avg30,sales_rank_avg90,sales_rank_avg180,sales_rank_drops30,sales_rank_drops90,sales_rank_drops180,sales_rank_drops365,new_price_current,new_price_avg30,bb_price,competitive_price_threshold,bb_is_amazon,bb_is_fba,our_bb_pct,n_unique_bb_sellers,total_offer_count,monthly_sold_badge,monthly_sold_delta90,monthly_sold_last3,review_count,rating,oos_amazon_30,oos_amazon_90,sr_history_points,sr_min,sr_max,sr_median,listed_since_keepa_min,data_pulled_at
B07GP4Q8Z5,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (Medium, Black)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Medium,Black,CI4470,102,2326,3370,9759,9759,41,148,378,831,38.85,38.14,38.99,50.99,False,True,3.9,142,11,300,1,100|200|300,7249,4.6,1,1,10578,457,516079,4693,4009380,2026-03-08
B07GP4RMBS,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (X-Large, Royal)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,X-Large,Royal,CI4470,102,2325,3404,5471,5471,29,122,324,686,38.95,38.95,41.99,,False,True,2.1,126,6,100,-39,100|50|100,7249,4.6,1,1,8194,457,547610,4594,4009380,2026-03-08
B07GP51K96,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (White, Large)",Nike,B08XVRQQTY,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Large,White,CI4470,72,48578,53202,53870,53870,12,40,104,317,36.67,36.69,36.82,49.99,False,True,2.3,207,12,,99,100|50|50,692,4.6,1,1,8026,433,553550,5825,4009380,2026-03-08
B07GP57H1W,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (Large, Red), Red, Size Large",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Large,Red,CI4470,102,2325,3646,5549,5549,32,131,335,715,41.99,40.66,41.99,,False,True,3.6,104,9,100,-9,100|50|100,7249,4.6,1,1,8115,457,553550,4545,4009380,2026-03-08
B07GP5QGCJ,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (X-Large, Green)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,X-Large,Green,CI4470,102,2326,3390,5456,5456,36,130,311,654,41.98,43.7,41.97,,False,True,4.7,82,5,50,29,100|50|50,7244,4.6,1,1,7136,433,1411355,4098,4009380,2026-03-08
B07GP5VB7G,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (XX-Large, Black)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,XX-Large,Black,CI4470,102,2326,3624,5520,5520,26,126,349,742,40.0,34.87,,38.89,False,True,3.4,152,6,200,-19,200|100|200,7249,4.6,1,1,8914,433,679774,4353,4009380,2026-03-08
B07GP6CKLT,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (X-Large, Navy)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,X-Large,Navy,908414-419,102,2325,3653,5553,5553,30,130,353,604,41.99,43.25,41.99,,False,True,3.7,116,8,100,-23,100|50|100,7244,4.6,1,1,8376,433,566873,4559,4009380,2026-03-08
B07GP6GZSG,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (Medium, Maroon)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Medium,Team Maroon,CI4470,102,2326,3655,5565,5565,30,124,320,708,41.94,43.33,41.94,,False,True,3.8,95,10,,99,50|100|50,7249,4.6,1,1,7841,433,549108,4450,4009380,2026-03-08
B07GP6PWBS,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (Large, Royal)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,Large,Royal,CI4470,102,2325,3403,5492,5492,32,140,330,672,33.95,33.95,38.0,,False,True,5.3,145,5,100,8,100|50|100,7244,4.6,1,1,8163,433,569279,4073,4009380,2026-03-08
B07GRDY3LG,"Nike Mens Dri-FIT Short Sleeve Polo Shirt (X-Large, Sky Blue)",Nike,B07GKWB3V2,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > Polos",Apparel,X-Large,Sky Blue,CI4470,102,2325,3650,5519,5519,32,126,328,668,41.99,41.31,41.99,,False,True,3.6,135,6,50,41,100|50|50,7249,4.6,1,1,8080,433,554935,4366,4009380,2026-03-08
B07MGBZYBH,"NIKE Plus Cushion Socks (6-Pair) (M (Men's 6-8 / Women's 6-10), Ankle(Quarter) Black)",Nike,,"Clothing, Shoes & Jewelry > Women > Clothing > Active",Apparel,Medium,Black/White,,0,35653,48812,58762,58762,17,62,158,719,27.1,25.66,27.1,28.0,False,True,2.1,290,5,1000,-55,1000|900|1000,825,4.6,1,1,10383,224,705735,10520,4224000,2026-03-08
