asin,title,brand,parent_asin,category_tree,product_group,size,color,model,variation_count,sales_rank_current,sales_rank_avg30,sales_rank_avg90,sales_rank_avg180,sales_rank_drops30,sales_rank_drops90,sales_rank_drops180,sales_rank_drops365,new_price_current,new_price_avg30,bb_price,competitive_price_threshold,bb_is_amazon,bb_is_fba,our_bb_pct,n_unique_bb_sellers,total_offer_count,monthly_sold_badge,monthly_sold_delta90,monthly_sold_last3,review_count,rating,oos_amazon_30,oos_amazon_90,sr_history_points,sr_min,sr_max,sr_median,listed_since_keepa_min,data_pulled_at
B08CNNXWHF,"Nike Youth Park III Shorts (XL, Black/White)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Large,Black/White,BV6866,57,4457,6756,9462,9462,29,99,263,626,21.95,25.26,21.95,31.99,False,True,8.7,79,8,200,2,200|100|200,246,4.6,1,1,7338,1151,101721,7122,5007904,2026-03-08
B08CNP7NS1,"Nike Youth Park III Shorts (M, Black/White)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Medium,Black/White,BV6866,57,4475,6701,9432,9432,73,179,392,925,24.56,24.75,24.56,31.99,False,True,6.4,100,9,300,-8,400|200|300,1861,4.4,1,1,8834,1143,168525,7421,5007904,2026-03-08
B08CP7GRV6,"Nike Youth Park III Shorts (S, Black/White)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Small,Black/White,BV6866,57,4475,6686,9419,9419,59,143,328,779,23.05,22.56,23.05,,False,True,7.2,89,12,100,-10,100|50|100,1861,4.4,1,1,6889,1143,46900,6838,5007904,2026-03-08
B08CP98GGJ,"Nike Youth Park III Shorts (L, Black/White)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Large,Black/White,BV6866,57,4475,6709,9371,9371,67,195,449,968,23.92,25.15,23.92,31.99,False,True,6.0,99,7,500,-61,500|400|500,362,4.5,1,1,8489,1143,185040,7221,5007904,2026-03-08
B08CY81R5Y,Nike Club Fleece Hoodie (Small) Black/White,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Small,Black,CJ1611,32,17810,12250,9789,9789,26,92,306,637,38.0,37.97,42.85,,False,True,4.6,201,21,300,79,100|200|300,3251,4.7,1,1,7721,66,73652,3657,5015138,2026-03-08
B08CY8F4K1,Nike Club Fleece Pullover Hoodie CJ1611,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Black,CJ1611,20,24637,13681,11715,11715,37,109,281,601,47.04,40.07,47.93,,False,True,3.7,228,13,500,78,500|600|500,1072,4.7,1,1,9895,64,639845,2974,5015138,2026-03-08
B08D3W9S6R,Nike Team Club Fleece Hoodie - Navy Blue,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Small,Navy,CJ1611,32,17808,12672,14746,14746,18,67,211,475,48.64,44.79,44.24,44.24,False,True,5.3,135,2,50,44,100|100|50,168,4.7,1,1,5253,64,2081680,3427,5303606,2026-03-08
B08D3XLQJF,Nike Team Club Fleece Hoodie - Navy Blue,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Navy,CJ1611,20,24639,13590,11448,11448,17,74,241,508,49.0,49.0,,44.24,False,False,4.3,161,8,,99,50|50|600,2643,4.7,1,1,6476,65,167547,3278,5017848,2026-03-08
B08D3XMDFX,Nike Club Fleece Pullover Hoodie Navy Large,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Tm Navy/White,CJ1611,32,17810,12329,14578,14578,19,68,261,531,44.0,44.14,44.0,44.92,False,True,4.4,164,10,100,77,100|200|100,3251,4.7,1,1,6113,64,220694,3201,5017848,2026-03-08
B08D3Y41RF,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Navy,CJ1611,32,17810,12228,14710,14710,16,65,198,465,51.0,43.24,,44.24,False,True,4.9,140,10,50,73,200|100|50,254,4.7,1,1,6379,64,333108,4219,5017848,2026-03-08
B08G1YSG7V,"Nike Club Men's Training Joggers (Black, X-Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,X-Large,Black,,57,462,353,222,222,47,113,323,1146,35.45,36.12,35.45,35.45,False,True,4.5,132,30,1000,55,1000|2000|1000,8553,4.7,1,1,7425,28,492356,2661,5064884,2026-03-08
B08G1YY8H7,"Nike Club Men's Training Joggers (Black, Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Large,Black,MSS-DO6193326,57,462,350,220,220,56,131,346,1309,36.92,36.09,35.45,35.45,False,True,5.4,175,28,2000,60,2000|3000|2000,8553,4.7,1,1,9626,28,489161,3035,5066984,2026-03-08
B08G1ZB4ZZ,"Nike Club Men's Training Joggers (Black, Medium)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,Medium,Black,CJ1616,57,462,350,220,220,55,125,363,1394,49.95,41.93,,35.45,False,False,6.1,179,11,700,83,700|600|700,8549,4.7,1,1,8306,28,360385,2707,5064884,2026-03-08
B08G1ZTJN3,Nike Club Crew Sweatshirt,Nike,B08G1WN3Z7,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Sweatshirts",Apparel,Large,Black,856359G019,72,15909,13608,9975,9975,27,156,242,451,38.0,40.65,39.98,44.24,False,True,4.3,109,11,100,66,100|200|100,3872,4.7,1,1,8956,896,567033,15779,5064054,2026-03-08
B08G8WZT5H,Nike Adult Fleece Pullover Hoodie,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Dark Grey/White,CJ1611-Dark Grey Heather-M,20,24642,14133,105941,105941,20,59,134,374,,,,,False,False,5.0,173,0,,99,200|100|50,398,4.7,1,1,7248,65,512409,3848,5068548,2026-03-08
B08G8X3P92,Nike Club Fleece Pullover Hoodie CJ1611,Nike,B0CTVTCPNP,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Dark Grey/White,CJ1611,210,47453,34878,21477,21477,15,100,322,600,34.1,36.52,34.1,59.99,False,False,5.1,156,20,50,85,200|400|50,14439,4.6,1,1,7493,65,242144,4152,5068548,2026-03-08
B08G8Y9492,"Nike Team Club Pullover Hoodie (Dark Grey/White, Large)",Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Dark Grey/White,CJ1611,20,24637,13613,64613,64613,23,76,202,454,53.99,54.33,54.99,59.99,False,True,4.6,132,5,,99,200|100|50,2643,4.7,1,1,7651,65,572730,3999,5067708,2026-03-08
B08HN49CGB,"Nike Club Men's Training Joggers (Navy, X-Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,X-Large,Navy,,57,462,355,222,222,49,119,314,1014,39.27,39.33,,35.45,False,True,4.8,136,16,300,53,500|400|300,8543,4.7,1,1,6703,28,260071,2686,5066984,2026-03-08
B08HPD4N7D,"Nike Club Men's Training Joggers (Navy, Medium)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Medium,Navy,CJ1616,57,462,349,220,220,53,119,310,1053,40.58,37.64,40.58,,False,True,3.3,163,9,600,40,600|500|600,8549,4.7,1,1,7013,28,224658,2825,5068244,2026-03-08
B08HPT1516,"Nike Club Men's Training Joggers (Navy, Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Large,Navy,,57,462,349,220,220,53,125,309,1214,39.8,38.59,,,False,True,2.9,173,15,500,49,500|600|500,8553,4.7,1,1,8446,28,273957,3261,5066144,2026-03-08
B08HR63BDQ,"Nike Club Men's Training Joggers (Navy, Small)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Small,Navy,Straight,57,462,350,220,220,47,116,311,1183,35.45,36.69,35.45,35.45,False,True,3.1,134,16,300,48,300|400|300,8553,4.7,1,1,7321,28,1100779,2713,5067824,2026-03-08
B08J197RQ6,Nike Club Crew Sweatshirt,Nike,B08G1WN3Z7,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Sweatshirts",Apparel,Medium,Black,cj1614,72,15907,13611,9965,9965,26,152,237,444,39.98,40.98,39.98,44.24,False,True,5.7,118,15,100,65,200|100|100,3872,4.7,1,1,9289,896,649805,16681,5064054,2026-03-08
B08JQK45C3,Custom Screenprint Nike Club Fleece Pullover Hoodie,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Royal,CJ1611,32,17808,12589,20716,20716,16,68,215,484,53.95,51.28,54.0,,False,False,4.7,86,4,,99,600|400|50,411,4.7,1,1,6358,64,474871,4139,5087918,2026-03-08
B08JQK6H5N,Custom Screenprint Nike Club Fleece Pullover Hoodie,Nike,B0CTVTCPNP,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Royal,CJ1611,210,47453,34653,21456,21456,18,92,288,569,44.97,47.65,44.97,,False,True,6.7,96,8,50,86,200|100|50,14439,4.6,1,1,7395,65,184772,3995,5087918,2026-03-08
B08JQKJJC8,"Nike Club Men's Training Joggers (Anthracite, Small)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Small,Anthracite,CJ1616,57,462,348,220,220,50,120,322,1104,33.5,33.9,33.99,35.45,False,True,6.5,49,14,700,32,700|800|700,8553,4.7,1,1,6014,28,155276,2705,5067404,2026-03-08
B08JQL5L94,"Nike Club Men's Training Joggers (Anthracite, X-Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,X-Large,Anthracite,,57,462,349,220,220,54,126,311,1068,36.9,37.58,35.45,35.45,False,True,6.5,53,13,800,26,800|900|800,8549,4.7,1,1,6882,28,174031,2739,5065724,2026-03-08
B08JQLTHYF,Nike Club Fleece Pullover Hoodie CJ1611,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Small,Anthracite,CJ1611,20,24639,13880,12583,12583,18,81,266,524,39.99,40.74,39.99,,False,True,7.7,108,12,50,91,100|50|50,2643,4.7,1,1,6094,64,513058,3566,5087918,2026-03-08
B08JQLZ8WW,"Nike Club Men's Training Joggers (Anthracite, Medium)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Medium,Anthracite,CJ1616,57,462,352,221,221,48,118,337,1132,37.0,36.52,37.0,35.45,False,True,6.2,62,18,1000,55,1000|2000|1000,8553,4.7,1,1,6104,28,151536,2376,5066564,2026-03-08
B08JQM7V2K,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Anthracite/White,CJ1611,32,17809,12055,13628,13628,21,76,278,576,39.99,41.47,39.99,59.99,False,True,5.1,150,12,100,81,50|50|100,3250,4.7,1,1,6308,64,1111190,3687,5087918,2026-03-08
B08JQMMX4D,"Nike Team Club Pullover Hoodie (Royal/White, Small)",Nike,B0CTVTCPNP,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Small,Royal,BV4124-273,210,47453,34439,21327,21327,16,96,282,558,39.99,40.82,39.99,84.98,False,True,8.1,71,12,50,90,900|200|50,14439,4.6,1,1,5399,66,477028,3477,5087918,2026-03-08
B08JQMXQ8N,"Nike Club Men's Training Joggers (Anthracite, Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,Large,Anthracite,42759614496945,57,462,351,221,221,51,121,306,1086,37.12,36.32,37.12,,False,True,8.5,68,17,1000,60,1000|2000|1000,8553,4.7,1,1,6199,28,158380,2348,5065724,2026-03-08
B08JQN6LBK,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Royal,CJ1611,32,17810,12249,14290,14290,17,76,240,494,40.99,40.73,40.99,,False,True,5.3,84,14,50,93,700|100|50,3251,4.7,1,1,6003,64,656787,4117,5087918,2026-03-08
B08JVFYQK1,"Nike Team Club Pullover Hoodie (Anthracite/White, Large)",Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Anthracite/White,CJ1611,20,24639,13566,119948,119948,25,72,254,511,44.99,45.83,44.99,,False,False,4.3,56,10,100,79,50|50|100,2643,4.7,1,1,6350,64,576687,4742,5115744,2026-03-08
B08K3LGXSM,"Nike Club Men's Training Joggers (Dark Grey/White, XL)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,X-Large,Grey,,57,462,350,221,221,56,122,311,1075,35.45,35.71,35.45,35.45,False,True,6.4,150,27,500,33,500|600|500,8553,4.7,1,1,7220,28,172041,2720,5065724,2026-03-08
B08K3LRL3Z,"Nike Club Men's Training Joggers (Dark Grey/White, Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Large,Grey,,57,462,349,220,220,53,121,309,960,34.95,34.65,34.99,35.45,False,True,7.3,226,36,1000,47,3000|2000|1000,8553,4.7,1,1,8919,28,197107,2994,5064884,2026-03-08
B08KGNGQNY,"Nike Club Men's Training Joggers (Dark Grey/White, Medium)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Medium,Grey,,57,462,349,416,416,48,115,318,1142,32.95,32.92,32.99,44.92,False,True,4.2,173,31,1000,56,3000|2000|1000,8553,4.7,1,1,7500,28,250742,2608,5064464,2026-03-08
B08KL3J235,"Nike Men's Pullover Fleece Club Hoodie, Dark Green, Medium",Nike,B0BFQGBR5G,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Dark Green,CJ1611,68,59909,45898,26972,26972,16,83,249,519,46.94,46.41,46.94,49.98,False,True,7.6,46,5,50,88,100|50|50,8844,4.7,2,2,4688,66,1260287,2919,5225444,2026-03-08
B08KPMVBNY,"Nike Men's Hoodie Black/White nkCJ1611 010 (Red, Medium)",Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Red,CJ1611,32,17809,12639,13771,13771,19,72,273,568,43.7,43.27,43.7,,False,True,4.7,57,11,200,55,200|300|200,206,4.8,1,1,4531,64,176006,2517,5133320,2026-03-08
B08KPP4K64,"Nike Men's Hoodie (Red, X-Large)",Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Red,CJ1611,32,17810,12186,14614,14614,14,66,265,506,47.65,43.53,47.65,,False,True,7.4,61,11,200,47,50|100|200,3250,4.7,1,1,4604,65,259381,2425,5133320,2026-03-08
B08KPPC3VS,"Nike Men's Hoodie Black/White nkCJ1611 010 (Anthracite/White, X-Large)",Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Anthracite/White,CJ1611,32,17810,12412,13933,13933,22,74,218,464,45.0,47.28,45.0,,False,True,6.4,60,8,50,88,50|100|50,272,4.7,1,1,4415,66,425763,2350,5133352,2026-03-08
B08L47FXJ2,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Dark Maroon,CJ1611,32,17808,12222,16242,16242,21,76,215,459,57.77,57.72,57.77,,False,True,5.0,51,8,50,87,100|50|50,293,4.8,1,1,4981,65,256945,3047,5145164,2026-03-08
B08L48P41T,Nike Club Fleece Pullover Hoodie,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Dark Maroon,CJ1611,32,17808,12147,14849,14849,17,72,256,507,51.0,49.18,53.0,,False,True,4.9,46,13,50,86,100|50|50,3251,4.7,1,1,4823,66,157837,2922,5145164,2026-03-08
B08LF2KNDF,"Nike Club Men's Training Joggers (Dark Grey/White, Small)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Small,Grey,,57,462,349,220,220,51,120,293,802,34.0,33.75,34.0,35.45,False,True,5.5,134,22,700,42,700|800|700,8553,4.7,1,1,7453,28,360209,2781,5064464,2026-03-08
B08LP2PKH2,"NIKE Sportswear Men's Pullover Club Hoodie (Small, Dark Grey)",Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Fashion Hoodies & Sweatshirts",Apparel,Small,Dark Grey/White,CJ1611,32,,,,,0,0,0,583,,,,,,,3.3,125,0,,0,50|100|50,3254,4.7,1,1,6876,64,147032,2650,5159284,2026-03-08
B08LX7SYK4,"Nike Club Men's Training Joggers (Black, Small)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Small,Black,194272729636,57,462,350,220,220,56,127,341,1310,36.9,36.78,35.45,35.45,False,True,5.6,146,22,1000,44,3000|2000|1000,8553,4.7,1,1,7625,28,174031,2612,5064044,2026-03-08
B08MLG24ZV,"Nike Club Men's Training Joggers (Black, XX-Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Track Pants",Apparel,XX-Large,Black,,57,462,354,222,222,47,119,332,965,38.0,41.3,38.0,35.45,False,False,3.6,89,8,100,84,400|200|100,8553,4.7,1,1,6273,28,172998,2391,5064044,2026-03-08
B08MZ6RBRD,"Nike Men's Pullover Fleece Club Hoodie, Purple, Large",Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Purple,CJ1611,32,17810,12315,14649,14649,17,59,229,462,38.99,49.06,38.99,,False,True,5.4,24,6,100,63,100|50|100,3250,4.7,1,1,4398,64,481015,2883,5183788,2026-03-08
B08NRP2H1R,"Nike Club Men's Training Joggers (White, Large)",Nike,B08M5PTJCL,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants",Apparel,Large,White,194272729636,57,462,349,220,220,52,119,318,1101,39.56,39.89,,35.45,False,False,5.6,34,8,100,68,100|200|100,8553,4.7,1,1,7336,28,919785,2648,5197224,2026-03-08
B08NY17QXS,"Nike Men's Park VII Jersey (Navy, Medium)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,Navy,Bv6710,60,1599,1929,2503,2503,73,215,451,1084,23.9,27.99,23.9,31.29,False,True,4.0,45,11,200,22,50|100|200,3938,4.5,1,1,6012,974,690197,4686,5539476,2026-03-08
B08NY22RD4,"Nike Men's Park VII Jersey (Navy, Small)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Small,Navy,193654329013,60,1599,1932,2503,2503,79,211,437,1038,26.35,24.49,26.35,31.29,False,True,4.9,33,9,100,12,50|50|100,3938,4.5,1,1,5369,922,953726,4253,5539480,2026-03-08
B08NY39NVG,"Nike Men's Park VII Jersey (Navy, Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Large,Navy,BV6730-012,60,1599,1929,2498,2498,77,232,479,1164,27.0,25.29,27.0,31.29,False,True,5.5,39,11,400,-25,400|300|400,3936,4.5,1,1,5508,916,832304,3938,5539456,2026-03-08
B08PXNTP2X,"Nike Men's Therma Pullover Hoodie (Black/White, Medium)",Nike,B08PY4L6FG,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,Black/White,CN9473,18,518182,363047,269408,269408,29,71,115,338,57.22,57.77,57.22,,False,True,6.8,61,4,,99,50|100|100,1209,4.6,1,1,9133,898,659872,22146,5225920,2026-03-08
B08QR3CRBG,Nike Team Club Fleece Hoodie - White,Nike,B0CTVTCPNP,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Medium,White,CJ1611,210,47453,34326,21219,21219,14,89,223,509,50.18,54.39,51.23,51.23,False,True,3.9,236,8,,99,300|200|50,200,4.7,1,1,6444,65,1090380,4722,5196434,2026-03-08
B08QVQGKRG,"Nike Unisex's NK Academy - Team Recreational Soccer Ball, White/Black/(Volt), 5",Nike,B08R4Q38FY,Sports & Outdoors > Sports > Team Sports > Soccer > Balls,Sports,5,white/black/(volt),CU8047-100,1,32826,29099,18891,18891,31,117,378,1213,,44.11,,,False,False,5.6,194,0,100,79,300|200|100,1638,4.5,3,5,12442,537,312859,5021,5239340,2026-03-08
B08S22J84V,Nike Unisex Beanie Cuffed (Black),Nike,B08S1TXGW3,"Clothing, Shoes & Jewelry > Men > Accessories > Hats & Caps > Skullies & Beanies",Apparel,One Size,Black,PFN258M,7,16083,9527,5747,5747,82,238,393,614,21.0,20.48,21.85,21.85,False,True,1.9,200,19,1000,80,1000|2000|1000,4943,4.6,1,1,11087,204,789810,10837,5265868,2026-03-08
B08WK22KBJ,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,White,CJ1611,20,24639,13662,12423,12423,14,78,220,445,49.39,47.99,49.39,59.99,False,True,8.5,145,4,50,78,200|100|50,97,4.6,1,1,5486,65,567695,18483,5157508,2026-03-08
B08WKRZ867,Nike Club Fleece Pullover Hoodie,Nike,B0G4T5V458,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,White,CJ1611,32,17808,12155,18617,18617,18,72,206,438,39.99,45.2,39.99,51.23,False,True,4.5,196,8,,99,200|100|50,219,4.6,1,1,5917,64,563417,4796,5169220,2026-03-08
B08WT2NWBV,"Nike Men's Park Short Sleeve T Shirt (White, Medium)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,White,BV6710-100,60,1599,1929,2502,2502,54,189,386,674,38.0,33.6,,17.52,False,False,9.3,60,1,,0,50|100|50,3938,4.5,1,1,6405,915,1355927,3577,5539472,2026-03-08
B08WT2QX8T,"Nike Men's Park Short Sleeve T Shirt (Grey, Small)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Small,Grey,BV6708-410,60,1599,2033,2536,2536,57,202,424,644,29.99,26.94,29.91,31.29,False,True,8.9,49,6,100,30,100|50|100,3938,4.5,1,1,5328,916,1500121,3665,5539452,2026-03-08
B08WT2YR61,"Nike Men's Park Short Sleeve T Shirt (Black, Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Large,Black,BV6710,60,1599,1932,2504,2504,69,209,466,1218,26.68,26.27,26.68,29.76,False,True,6.9,103,6,700,10,700|800|700,3938,4.5,1,1,7958,905,1415543,3191,5331566,2026-03-08
B08WT87J58,"Nike Men's Park Short Sleeve T Shirt (Royal, Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Large,Royal,BV6710,60,1599,1935,2501,2501,76,229,466,989,27.08,26.3,27.08,31.29,False,True,6.8,42,7,200,-32,50|100|200,3937,4.5,1,1,4974,926,2209587,3095,5331566,2026-03-08
B08WT9L8QX,"Nike Men's Park Short Sleeve T Shirt (Grey, Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Large,Grey,BV6710,60,1599,1932,2501,2501,65,206,430,1042,25.99,25.39,25.99,31.29,False,True,6.1,56,7,200,48,200|300|200,3938,4.5,1,1,6239,948,1355927,3187,5539456,2026-03-08
B08WTCQ3L4,"Nike Men's Park Short Sleeve T Shirt (Royal, Medium)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,Royal,BV6708-410,60,1599,1931,2503,2503,72,208,426,982,26.94,25.37,,24.45,False,False,4.8,39,8,100,-1,100|50|100,3936,4.5,1,1,5432,915,1698486,3134,5539464,2026-03-08
B08WTCXHGH,"Nike Men's Park Short Sleeve T Shirt (White, Small)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Small,White,BV6710-100,60,1599,1927,2512,2512,41,125,341,712,38.0,37.0,,,False,False,9.4,43,1,,0,100|50|50,3936,4.5,1,1,6003,958,1355927,3672,5539488,2026-03-08
B08WTG63BD,"Nike Men's Park Short Sleeve T Shirt (Black, Medium)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,Black,BV6710,60,1599,1927,2499,2499,71,229,487,1199,26.6,25.16,26.61,29.76,False,True,5.6,107,10,700,11,700|600|700,539,4.6,1,1,9149,915,1355927,3429,5539474,2026-03-08
B08WTHJJ66,"Nike Men's Park Short Sleeve T Shirt (White, Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Large,White,BV6710-100,60,1599,1931,2499,2499,49,158,333,744,20.91,22.92,,17.52,False,False,10.1,63,3,,99,200|100|50,3938,4.5,1,1,6363,915,1355927,3372,5539472,2026-03-08
B08WTHXMG6,"Nike Men's Park Short Sleeve T Shirt (Red, Medium)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,Red,BV6710,60,1599,1941,2511,2511,50,169,351,744,25.99,25.8,25.99,31.29,False,True,6.2,54,8,200,-29,50|100|200,3938,4.5,1,1,5484,915,1355927,3428,5331566,2026-03-08
B08WTM4CNK,"Nike Men's Park Short Sleeve T Shirt (Volt, X-Large)",Nike,B09H7GBB7N,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,X-Large,Volt,BV6710,60,1599,2040,2537,2537,57,184,415,1001,28.98,24.17,29.99,31.29,False,True,7.0,33,2,50,0,100|50|50,3937,4.5,1,1,4929,905,1367835,3161,5539464,2026-03-08
