asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B0036DUP6C,3,1.766010861843824,7.543810998470273,4.72251952,27.28732157840422,4.285714285714284,8.100796191199521,2.0186514367,3.037580729,5.0,5.873796686530112
B0036DYUV8,8,17.383726716041565,9.910011308433402,8.36025712,27.250265124726774,4.285714285714284,7.19820063909297,0.94234592,2.3824206674,5.0,5.852863043546676
B0036DYUZO,0,1.4940565824508658,6.081233745607606,0.563842812,26.868346022319784,0.0,7.6479384017965355,0.341638191468,0.3702942238,0.0,5.282519981265067
B003CGV788,152,164.68472608923912,182.9780858647261,37.27536802,244.85849659775803,227.14285714285714,245.2375540958371,198.6759034,159.9928047,237.0,230.1217474937439
B003CH2LYG,31,10.83403392508626,27.519173744377806,53.321846,34.45615588858778,30.0,28.387354324560008,32.89368235,21.70927715,34.0,11.031867146492004
B003CH2QFU,0,7.347621470689774,7.117429899750736,1.69800108,26.868346022319784,0.0,7.6479384017965355,0.2996016145,0.677980723,0.0,5.282519981265067
B0059CIMR2,87,60.651976495981216,77.87884743460512,69.21526431,82.15225267843897,81.42857142857143,89.95630217296859,95.4490313,95.0049603,83.0,52.722145080566406
B0059CIMV8,75,93.45802208781242,115.48213183209903,39.3334413,127.09789600812988,128.57142857142856,119.11671991582361,150.2394176,169.372351,133.0,109.7570743560791
B007HQIAL6,61,32.24932771921158,59.15736826385627,95.3204122,63.223004950096296,60.0,59.14387275356036,55.6852132,59.20822855,64.0,49.2715185880661
B007OY499S,2,0.7250214908272024,6.8875552075637785,5.230596714,26.766399880520336,0.0,7.318516910698572,0.03512913012,2.717593849,0.0,5.419628471136092
B007OY4HGI,9,9.484313180670142,17.566037786871135,2.803460393,32.85459924516438,8.571428571428571,28.724032180201004,14.52014898,24.29035373,8.0,10.285356655716896
B007OY4I3U,42,32.515434340108186,41.5905190008599,21.40850446,56.99971992382334,34.285714285714285,57.386968043292455,33.85189173,49.7304662,34.0,39.2406485080719
B00EE1EAW0,190,84.65471235010773,114.62569270549767,184.8681709,112.43468451777252,102.85714285714285,114.52593380964763,133.6458541,74.8366314,108.0,97.41386032104492
B00EE1EBCY,196,181.10251712799072,152.348495130284,205.4678613,117.75629997750778,77.14285714285717,142.8717450169691,194.0750686,125.84744020000001,78.0,99.31853485107422
B00EE1EDC2,105,35.517068242654204,46.65106213467393,105.8960046,36.93703396446912,42.85714285714286,56.1571182981094,35.0443184,19.359741594,45.0,37.64614987373352
B00EE1EDL8,102,22.166178732644767,41.99303238295901,100.7478182,35.50113891757688,17.142857142857142,37.47156793647439,38.3688609,23.754728319999998,17.0,35.94093382358551
B00EP9E238,242,24.68948481976986,100.57580683304693,253.010625,85.3805497596166,90.0,114.79387378813591,82.2755402,77.8357933,94.0,66.04478168487549
